City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
544,Boyolangu,ID,82.31,overcast clouds,-8.12,111.89,Yos ega cv
546,Sarangani,PH,82.89,heavy intensity rain,5.4,125.46,Ballistic Islet
547,Bondo,CD,84.33,overcast clouds,3.81,23.69,
554,Boa Vista,BR,77.0,broken clouds,2.82,-60.67,Aipana Plaza Hotel
555,Port Macquarie,AU,75.0,light rain,-31.43,152.92,Rydges Port Macquarie
561,Kismayo,SO,84.24,broken clouds,-0.36,42.55,Agan-Hotel
563,Santa Cruz Cabralia,BR,75.2,few clouds,-16.28,-39.02,Portobali Hotel
571,Bara,NG,81.55,clear sky,10.37,10.73,
572,Vaitape,PF,80.31,light rain,-16.52,-151.75,Conrad Bora Bora Nui
573,Adelaide,AU,77.0,broken clouds,-34.93,138.6,The Chancellor on Currie
574,Sumisip,PH,80.6,light rain,6.42,121.97,
579,Barabai,ID,87.15,moderate rain,-2.58,115.38,Joko Homestay
581,Hobyo,SO,80.82,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
582,Phan Thiet,VN,83.84,clear sky,10.93,108.1,Hotel Saigon-PT
591,Bourail,NC,79.3,overcast clouds,-21.57,165.48,Nekweta
592,Dubbo,AU,84.2,scattered clouds,-32.25,148.62,Comfort Inn Blue Lagoon
595,Maragogi,BR,76.12,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
597,Biloela,AU,81.91,overcast clouds,-24.42,150.5,Silo Motor Inn
598,San Andres,CO,80.6,few clouds,12.58,-81.7,Hotel Arena Blanca
603,Daru,PG,84.52,overcast clouds,-9.08,143.21,Daru Lodge
606,Vila Velha,BR,75.2,moderate rain,-20.33,-40.29,Hotel Vitória Palace
609,Mayor Pablo Lagerenza,PY,76.32,overcast clouds,-19.93,-60.77,
613,Coolum Beach,AU,80.01,few clouds,-26.53,153.1,Palmer Coolum Resort
